Steve, Rogers, 456-778-8999, 74180
Tony, Stark, 478956, 78945
, Strange, 7778-8959,
bruce, , 1234567890, 12west
thor, odinson, 7h-9k-8776, 47841-585
wade, , 5555555555, 12345
wanda, maximoff, 444-999-1234,
clint, barton, 9998887558, 78
peter, parker, ,
, fury, 0000000000, 99798
peter, quill, ,58796
natasha, romanova, 158-874-9998, widow
bucky, barnes, 87-888-9652, 14528
pepper, potts, 558-985-6363, 78945
howard, stark, 4748985566, 47485
luke, cage, , 47859
jessica, jones, 8475859874,
james, rhodes, 2225558745, 78459
sam, wilson, 774-854-9696, 47dsd
yondu, udonta, 458, 00001-d
susan, storm, 222-158-9874, 47859-8888
charles, xavier, 111-222-4748, xmen1
matt, murdock, , l47895
johnny, blaze, 666-999-1111, 21478
danny, rand, 555-999-fist, 12340
